Genre,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Cluster
Sports,41.49,29.02,3.7699999999999996,8.46,82.74,1
Platform,29.08,3.58,6.81,0.77,40.24,2
Racing,15.85,12.880000000000003,3.79,3.31,35.82,2
Sports,15.75,11.01,3.28,2.96,33.0,1
Role-Playing,11.27,8.89,10.22,0.9999999999999999,31.37,1
Puzzle,23.2,2.26,4.22,0.58,30.26,2
Platform,11.38,9.23,6.5,2.9,30.01,2
Misc,14.03,9.2,2.93,2.85,29.019999999999996,2
Platform,14.590000000000002,7.06,4.7,2.26,28.620000000000005,2
Shooter,26.929999999999996,0.63,0.28,0.47,28.31,1
Simulation,9.07,11.0,1.93,2.75,24.76,1
Racing,9.81,7.57,4.13,1.92,23.42,2
Role-Playing,9.0,6.18,7.2,0.71,23.1,1
Sports,8.94,8.03,3.6,2.15,22.72,1
Sports,9.09,8.59,2.53,1.79,22.0,1
Misc,14.97,4.94,0.24,1.6699999999999997,21.82,2
Action,7.01,9.27,0.97,4.14,21.4,0
Action,9.43,0.4,0.4099999999999999,10.57,20.81,0
Platform,12.78,3.75,3.54,0.55,20.61,2
Misc,4.75,9.26,4.16,2.05,20.22,2
Role-Playing,6.42,4.52,6.04,1.37,18.36,1
Platform,10.83,2.71,4.18,0.42,18.14,2
Platform,9.54,3.4400000000000004,3.8400000000000003,0.46,17.28,2
Action,9.63,5.31,0.06,1.38,16.38,0
Action,8.41,5.49,0.47,1.78,16.15,0
Role-Playing,6.06,3.9000000000000004,5.38,0.5,15.85,1
Role-Playing,5.57,3.2800000000000002,5.65,0.82,15.320000000000002,1
Puzzle,3.4399999999999995,5.36,5.32,1.18,15.3,2
Racing,6.85,5.089999999999999,1.87,1.16,14.979999999999999,2
Shooter,9.03,4.28,0.13,1.32,14.759999999999998,1
Role-Playing,5.89,5.04,3.12,0.59,14.639999999999999,1
Shooter,9.67,3.7300000000000004,0.11,1.13,14.639999999999999,1
Role-Playing,5.17,4.05,4.34,0.79,14.35,1
Shooter,5.77,5.81,0.35,2.31,14.24,1
Shooter,4.99,5.88,0.65,2.52,14.03,1
Shooter,8.25,4.3,0.07,1.12,13.73,1
Shooter,8.52,3.63,0.08,1.29,13.51,1
Shooter,5.54,5.82,0.49,1.6199999999999999,13.459999999999999,1
Action,6.99,4.51,0.3,1.3,13.1,0
Fighting,6.75,2.6100000000000003,2.6599999999999997,1.02,13.04,2
Shooter,5.98,4.44,0.48,1.83,12.73,1
Simulation,2.55,3.5200000000000005,5.33,0.88,12.27,1
Racing,4.74,3.91,2.67,0.89,12.21,2
Shooter,7.97,2.83,0.13,1.21,12.14,1
Action,3.8,5.81,0.36,2.02,11.98,0
Action,4.4,2.7700000000000005,3.9600000000000004,0.77,11.9,0
Platform,6.910000000000001,2.8500000000000005,1.9100000000000001,0.23,11.89,2
Racing,3.01,0.010000000000000009,1.1,7.53,11.66,2
Platform,6.16,3.4000000000000004,1.2,0.76,11.52,2
Role-Playing,4.23,3.37,3.08,0.65,11.33,1
Adventure,6.16,2.04,2.69,0.29,11.18,0
Action,6.76,3.1000000000000005,0.14,1.03,11.02,0
Racing,4.02,3.87,2.54,0.52,10.95,2
Platform,4.89,2.99,2.13,0.78,10.79,2
Racing,2.96,4.88,0.81,2.12,10.77,2
Shooter,4.99,3.6900000000000004,0.38,1.63,10.69,1
Action,4.76,3.76,0.44000000000000006,1.6199999999999999,10.57,0
Platform,5.99,2.1500000000000004,2.12,0.29,10.55,2
Role-Playing,4.34,2.6500000000000004,3.15,0.35,10.49,1
Platform,5.08,3.1100000000000003,1.25,0.98,10.42,2
Misc,6.05,3.1500000000000004,0.0,1.07,10.26,2
Shooter,6.72,2.63,0.04,0.82,10.21,1
Shooter,7.03,1.98,0.08,0.78,9.88,1
Racing,5.55,1.94,2.23,0.15,9.87,2
Platform,3.66,3.0700000000000003,2.47,0.63,9.82,2
Shooter,6.63,2.3600000000000003,0.04,0.73,9.76,1
